"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"365","Barking and Dagenham","E09000002","Robbery",2014-01-01,52
"366","Barking and Dagenham","E09000002","Sexual Offences",2014-01-01,24
"367","Barking and Dagenham","E09000002","Theft and Handling",2014-01-01,443
"368","Barking and Dagenham","E09000002","Violence Against the Person",2014-01-01,383
"369","Barking and Dagenham","E09000002","Arson and Criminal Damage",2014-02-01,139
"370","Barking and Dagenham","E09000002","Burglary",2014-02-01,168
"371","Barking and Dagenham","E09000002","Drug Offences",2014-02-01,74
"372","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2014-02-01,29
"373","Barking and Dagenham","E09000002","Robbery",2014-02-01,54
"374","Barking and Dagenham","E09000002","Sexual Offences",2014-02-01,19
"375","Barking and Dagenham","E09000002","Theft and Handling",2014-02-01,388
"376","Barking and Dagenham","E09000002","Violence Against the Person",2014-02-01,355
"377","Barking and Dagenham","E09000002","Arson and Criminal Damage",2014-03-01,141
"378","Barking and Dagenham","E09000002","Burglary",2014-03-01,190
"379","Barking and Dagenham","E09000002","Drug Offences",2014-03-01,63
"380","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2014-03-01,38
"381","Barking and Dagenham","E09000002","Robbery",2014-03-01,42
"382","Barking and Dagenham","E09000002","Sexual Offences",2014-03-01,39
"383","Barking and Dagenham","E09000002","Theft and Handling",2014-03-01,496
"384","Barking and Dagenham","E09000002","Violence Against the Person",2014-03-01,437
"385","Barking and Dagenham","E09000002","Arson and Criminal Damage",2014-04-01,126
"386","Barking and Dagenham","E09000002","Burglary",2014-04-01,130
"387","Barking and Dagenham","E09000002","Drug Offences",2014-04-01,59
